,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1794,Éder Militão\2784f898,br BRA,DF,Real Madrid,es La Liga,23,1998,33.7,52.8,59.2,89.2,1143,323.6,16.5,17.5,94.6,25.6,27.3,93.7,10,13.1,76.2,0.06,0.04,0.02,0.33,4.18,0.21,0.03,2.11,Matches
1795,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,eng Premier League,30,1991,8.6,45,56.4,79.8,901.3,249.1,15.7,18.1,86.5,20,23.8,83.9,7.91,11.9,66.7,0,0.09,-0.09,1.16,3.14,0.7,0.23,3.95,Matches
1796,Luis Milla\19c36442,es ESP,MF,Granada,es La Liga,26,1994,29.9,38.4,48.4,79.4,781.9,259.8,15.5,17.4,89.4,14.9,16.9,88.7,6.96,12.2,56.8,0.1,0.14,-0.04,1.4,4.88,0.74,0.37,4.85,Matches
1797,Pere Milla\335039a2,es ESP,FWMF,Elche,es La Liga,28,1992,18.3,21.4,29.2,73.2,345.5,88.4,10.9,13.8,79.1,7.49,9.73,77,1.97,3.88,50.7,0.16,0.1,0.06,0.66,1.09,0.66,0.16,1.91,Matches
1798,Enzo Millot\f76022e7,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.6,40,50,80,608.3,125,23.3,26.7,87.5,15,18.3,81.8,1.67,1.67,100,1.67,0.33,1.33,1.67,1.67,5,0,6.67,Matches
1799,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,eng Premier League,35,1986,9.5,65.6,78.8,83.2,1287.5,390.7,25.6,28.9,88.4,29.1,32.8,88.5,10,14.6,68.3,0.11,0.23,-0.13,2.11,7.79,2.11,0.21,7.89,Matches
1800,Santi Mina\0b90bb97,es ESP,FW,Celta Vigo,es La Liga,25,1995,26.3,17.3,25.6,67.6,257.4,44.1,10,14.2,70.8,4.41,6.58,67.1,1.63,2.55,64.2,0.11,0.08,0.04,0.61,1.29,0.42,0,1.41,Matches
1801,Yerry Mina\6d5701f2,co COL,DF,Everton,eng Premier League,26,1994,9.4,30.7,37.6,81.9,663.3,190.2,9.15,10.6,86,13.8,16.1,86.1,6.38,8.72,73.2,0,0,0,0,1.6,0,0,1.28,Matches
1802,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,eng Premier League,26,1995,2.1,30,35.7,84,403.8,86.2,18.1,21,86.4,9.05,9.52,95,0.95,3.33,28.6,0,0.24,-0.24,0.95,2.38,0.95,0,2.86,Matches
1803,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,eng Premier League,28,1993,35.4,35.9,44.6,80.5,799.5,283.8,9.44,11,85.6,19.7,21.7,90.8,6.55,11.1,58.9,0.08,0.04,0.04,0.28,2.15,0.17,0.03,2.12,Matches
1804,Óscar Mingueza\056269d7,es ESP,DF,Barcelona,es La Liga,22,1999,9.9,66.7,76.6,87.1,1250.8,373.3,28.1,30,93.6,28.7,31.6,90.7,8.69,12.8,67.7,0.1,0.09,0.01,0.91,3.43,1.31,0.71,3.64,Matches
1805,Rafa Mir\bbf5c11b,es ESP,FW,Sevilla,es La Liga,24,1997,20.1,12,17.5,68.8,194.3,20,6.17,8.11,76.1,4.83,6.82,70.8,0.7,1.29,53.8,0,0.02,-0.02,0.45,0.6,0.35,0.05,0.85,Matches
1806,Jorge Miramón\7f4c7c9f,es ESP,DF,Levante,es La Liga,32,1989,22,36,47.1,76.5,658.5,276.3,16.3,18.6,87.6,14.9,18.6,80,4.27,8.05,53.1,0,0.03,-0.03,0.64,2.68,1.05,0.36,3.82,Matches
1807,Aleksei Miranchuk\a9aa0d1d,ru RUS,MFFW,Atalanta,it Serie A,25,1995,8.6,37,44.7,82.8,589.1,150,19.8,22.6,87.6,12.7,14.8,85.8,2.79,4.65,60,0.58,0.35,0.23,2.56,2.56,2.33,0.12,4.88,Matches
1808,Juan Miranda\ead61f73,es ESP,DF,Betis,es La Liga,21,2000,8.7,45.3,59.2,76.5,808.2,324.6,19.9,22.1,90.1,20.3,24.9,81.6,4.25,10.3,41.1,0.23,0.17,0.06,0.92,2.87,1.03,0.46,4.02,Matches
1809,Fabio Miretti\34693494,it ITA,MF,Juventus,it Serie A,17,2003,3.6,34.4,41.7,82.7,754.7,237.8,10.8,12.8,84.8,15.8,18.1,87.7,6.94,9.17,75.8,0,0.11,-0.11,1.39,3.89,0.83,0,5,Matches
1810,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,eng Premier League,21,1999,34.5,40.1,55,72.9,684.5,330.2,18.3,20.8,88,18,23.2,77.5,2.99,8,37.3,0.06,0.04,0.02,0.58,2.84,1.04,0.46,3.86,Matches
1811,Stefan Mitrović\e6777e6b,rs SRB,DF,Getafe,es La Liga,31,1990,29.6,24.1,30.6,78.5,565.8,176.4,5.88,6.76,87,12.4,14.3,86.7,5.51,9.02,61,0,0,0,0.07,0.61,0.03,0,0.84,Matches
1812,Maximilian Mittelstädt\88d4144a,de GER,DFFW,Hertha BSC,de Bundesliga,24,1997,16.6,32.7,47.6,68.6,585.8,271.4,15,18.4,81.6,12.7,17.3,73.3,4.1,9.1,45,0.3,0.17,0.13,1.27,2.47,1.14,0.66,4.46,Matches
1813,Henrikh Mkhitaryan\dd0daf32,am ARM,MFFW,Roma,it Serie A,32,1989,27.7,35,42.3,82.7,627.9,149,16.2,18.5,87.7,13.8,16.2,85.3,4.37,5.52,79.1,0.22,0.17,0.05,1.37,3.03,1.52,0.22,4.04,Matches
1814,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,eng Premier League,22,1999,18.9,31.2,42.6,73.2,504.1,147.2,16,19.4,82.8,11.8,15.8,74.6,2.49,4.34,57.3,0.16,0.09,0.07,0.74,2.75,1.01,0.16,3.54,Matches
1815,Anthony Modeste\34e4343c,fr FRA,FW,Köln,de Bundesliga,33,1988,29,10.1,15.3,65.6,162.6,21.8,5.03,6.97,72.3,3.66,5.41,67.5,0.76,1.48,51.2,0.14,0.04,0.1,0.48,0.55,0.24,0.07,0.79,Matches
1816,Marco Modolo\fdcdb521,it ITA,DF,Venezia,it Serie A,32,1989,4.4,28.4,34.8,81.7,655.5,185.5,5.68,7.05,80.6,16.8,18.4,91.4,5.91,8.86,66.7,0,0,0,0,0.91,0,0,0.68,Matches
1817,Luka Modrić\6025fab1,hr CRO,MF,Real Madrid,es La Liga,35,1985,22.6,67.6,76.7,88.1,1275,365,30.9,32.8,94.2,24.6,27.1,90.5,10.4,13.1,78.8,0.35,0.19,0.17,1.68,7.7,1.68,0.18,7.21,Matches
1818,Terem Moffi\065dc209,ng NGA,FW,Lorient,fr Ligue 1,22,1999,30.1,14.1,18.9,74.5,211.6,42.6,8.5,10.3,82.6,3.52,5.05,69.7,1.26,1.93,65.5,0.13,0.14,-0.01,1.13,1,0.56,0.13,1.33,Matches
1819,Kevin Möhwald\a5ce09f2,de GER,MF,Union Berlin,de Bundesliga,28,1993,3.9,36.4,45.6,79.8,639.2,181.3,15.6,18.2,85.9,15.4,19,81.1,3.85,5.13,75,0,0.08,-0.08,1.03,3.85,1.54,1.03,3.08,Matches
1820,Dion Moise Sahi\cdc4458b,ci CIV,FWMF,Strasbourg,fr Ligue 1,19,2001,1.4,27.9,30,92.9,416.4,105,15.7,17.1,91.7,10.7,10.7,100,0.71,0.71,100,0,0.07,-0.07,0.71,2.14,1.43,0.71,3.57,Matches
1821,Johan Mojica\608f2092,co COL,DF,Elche,es La Liga,28,1992,31.7,44.8,58.6,76.4,827.9,366.3,21.9,24.1,90.6,16.2,19.5,82.9,5.93,11.8,50.1,0.16,0.14,0.02,0.98,2.43,1.45,0.82,3.75,Matches
1822,Clinton Mola\29ddfb9c,eng ENG,DF,Stuttgart,de Bundesliga,20,2001,1.3,84.6,92.3,91.7,1779.2,400,24.6,27.7,88.9,48.5,50.8,95.5,11.5,13.8,83.3,0,0,0,0,3.08,0,0,3.85,Matches
1823,Jorge Molina\43f71e77,es ESP,FW,Granada,es La Liga,39,1982,21.8,15.8,24.4,64.7,233.7,62.3,9.31,13,71.5,5.05,7.75,65.1,0.96,1.83,52.5,0.23,0.14,0.09,1.28,1.51,0.46,0.05,2.06,Matches
1824,Nahuel Molina\23610943,ar ARG,DF,Udinese,it Serie A,23,1997,29.3,29.9,42.2,71,518.6,223.9,14.9,17.7,84.2,11.2,15.6,71.7,3.21,7.34,43.7,0.07,0.13,-0.06,1.3,2.18,1.64,0.68,3.69,Matches
1825,Cristian Molinaro\1c8c5aed,it ITA,DF,Venezia,it Serie A,38,1983,6.1,40.3,53,76.2,776.9,391.5,15.7,18,87.3,18.5,23,80.7,5.74,10.8,53,0.16,0.07,0.1,0.82,3.11,0.82,0.49,4.1,Matches
1826,Florent Mollet\7e82a78f,fr FRA,FWMF,Montpellier,fr Ligue 1,29,1991,29.2,33.1,40.9,80.9,546.9,140.9,17.5,19.2,91.1,10.9,12.9,84.4,3.36,6.16,54.4,0.07,0.1,-0.03,1.03,2.29,0.79,0.27,2.74,Matches
1827,Jon Moncayola\9939e168,es ESP,MF,Osasuna,es La Liga,23,1998,32.4,33.6,43.1,77.9,698.9,177.1,12.1,13.7,88.1,14.7,17.1,85.9,6.23,10.6,59.1,0.09,0.07,0.02,1.05,3.24,0.77,0.25,3.12,Matches
1828,Monchu\8ac501f5,es ESP,MF,Granada,es La Liga,21,1999,7.4,38.4,46.5,82.6,737.2,160.4,15.9,17.8,89.4,14.3,17.2,83.5,6.62,9.32,71,0,0.03,-0.03,0.27,3.92,0.68,0.27,3.92,Matches
1829,Thomas Monconduit\84d94b91,fr FRA,MF,Lorient,fr Ligue 1,30,1991,25,40.5,51.6,78.5,842.6,257.1,15,18.3,82.3,17.1,20.4,83.7,7.48,11.1,67.5,0.08,0.12,-0.04,1.2,5.12,0.6,0.12,5.56,Matches
1830,Gonzalo Montiel\374d5158,ar ARG,DF,Sevilla,es La Liga,24,1997,11.8,46.4,59.7,77.7,811.2,274.7,20.6,23.6,87.4,21.1,25.3,83.6,3.9,8.22,47.4,0.17,0.11,0.06,0.93,2.54,1.02,0.59,3.73,Matches
1831,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,16.1,28.8,56,602.5,406.7,2.06,2.06,100,5.03,5.26,95.5,8.91,21.4,41.7,0,0,0,0,0.62,0,0,0,Matches
1832,Ángel Montoro\719384c1,es ESP,MF,Granada,es La Liga,33,1988,14.8,33.7,44.8,75.3,743.4,233.6,10.7,12.8,83.7,15,17.5,85.7,7.23,12.8,56.3,0.07,0.11,-0.04,1.55,3.78,0.74,0.14,3.85,Matches
1833,Martín Montoya\5cec2487,es ESP,DF,Betis,es La Liga,30,1991,5.8,44.1,54,81.8,739.8,239.7,22.8,26,87.4,17.4,21,82.8,3.1,5.52,56.3,0.17,0.19,-0.02,0.52,3.45,0.86,0.34,2.76,Matches
1834,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,eng Premier League,24,1996,0,2,2,100,19,10,2,2,100,0,0,,0,0,,0,0,0,0,0,0,0,1,Matches
1835,Álvaro Morata\129af0db,es ESP,FW,Juventus,it Serie A,28,1992,25.6,20,26.5,75.4,334.6,56.9,10.4,13,79.3,7.19,8.87,81.1,1.88,2.81,66.7,0.16,0.24,-0.08,1.72,1.13,0.78,0.23,1.68,Matches
1836,Jan Morávek\e7d22eae,cz CZE,MF,Augsburg,de Bundesliga,31,1989,5.2,25.4,35.6,71.4,436.9,106.3,13.3,16.2,82.1,5.96,8.65,68.9,4.04,7.31,55.3,0,0.12,-0.12,1.35,1.73,0.58,0,2.88,Matches
1837,Jon Morcillo\b7d7f3bf,es ESP,MF,Athletic Club,es La Liga,22,1998,0.6,33.3,56.7,58.8,455,125,21.7,26.7,81.3,11.7,16.7,70,0,10,0,0,0,0,0,1.67,0,0,3.33,Matches
1838,Jérémy Morel\e97150c0,mg MAD,DF,Lorient,fr Ligue 1,37,1984,6.7,37.8,44.2,85.5,801.2,265.5,11.3,12.4,91.6,19.9,21.8,91.1,6.42,9.55,67.2,0,0.01,-0.01,0.15,1.64,0,0,1.19,Matches
1839,Alberto Moreno\11b9265b,es ESP,MFDF,Villarreal,es La Liga,29,1992,13.6,36.8,45.8,80.3,645.8,170,16.8,19.6,85.8,15.4,18.1,85,3.9,6.47,60.2,0.15,0.15,0,1.4,1.84,1.62,0.51,2.79,Matches
1840,Álex Moreno\16e9d0ea,es ESP,DF,Betis,es La Liga,28,1993,26.7,39,52.6,74.1,648,252.7,19.9,22.4,88.8,15.5,20.6,75.1,2.88,7,41.2,0.11,0.09,0.02,0.82,2.17,1.16,0.49,3.33,Matches
1841,Gerard Moreno\81f0781e,es ESP,FW,Villarreal,es La Liga,29,1992,13.2,24.5,35.8,68.4,461.5,128.6,11.3,14.8,76.4,8.71,12.2,71.4,3.94,5.91,66.7,0.23,0.36,-0.13,2.2,2.88,1.89,0.3,4.47,Matches
1842,Tete Morente\004d185e,es ESP,MFFW,Elche,es La Liga,24,1996,18.1,23.1,32.9,70.1,377.3,112,13.3,16,83.1,7.07,10.2,69.2,2.32,4.42,52.5,0.17,0.12,0.05,0.94,1.55,1.05,0.61,2.54,Matches
1843,Ilaix Moriba\f4c69aa6,gn GUI,MF,Valencia,es La Liga,18,2003,9.1,24.6,31.9,77.2,436,119.7,13,15.2,85.5,8.79,11.1,79.2,2.53,4.4,57.5,0,0.02,-0.02,0.22,2.64,0.77,0.11,2.86,Matches
1844,Ilaix Moriba\f4c69aa6,gn GUI,MF,RB Leipzig,de Bundesliga,18,2003,0.4,42.5,50,85,702.5,165,27.5,30,91.7,10,15,66.7,5,5,100,0,0,0,0,5,0,0,5,Matches
1845,Manu Morlanes\a0255c67,es ESP,MF,Espanyol,es La Liga,22,1999,12.7,44.3,50.7,87.3,770.6,241.4,20.7,22.1,93.6,18.4,19.9,92.5,4.33,7.01,61.8,0,0.02,-0.02,0.39,4.65,0.47,0.16,4.57,Matches
1846,Raúl Moro\919dd4b1,es ESP,FW,Lazio,it Serie A,18,2002,2.2,34.1,39.5,86.2,505,61.4,18.2,20,90.9,14.1,16.4,86.1,0.45,0.91,50,0.45,0.09,0.36,2.27,0.45,0.91,0.45,1.36,Matches
1847,Loren Morón\3aa4a3be,es ESP,FWMF,Espanyol,es La Liga,27,1993,6.3,9.05,15.1,60,143,25.1,4.92,6.83,72.1,2.54,4.13,61.5,1.11,1.9,58.3,0,0.06,-0.06,0.48,0.79,0.16,0.16,0.32,Matches
1848,Loren Morón\3aa4a3be,es ESP,FW,Betis,es La Liga,27,1993,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1849,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,eng Premier League,18,2002,0.7,45.7,52.9,86.5,837.1,174.3,20,21.4,93.3,20,21.4,93.3,5.71,8.57,66.7,0,0,0,0,11.4,0,0,4.29,Matches
1850,Cristhian Mosquera\dc1ce4f5,co COL,DF,Valencia,es La Liga,17,2004,2.4,27.9,31.7,88.2,601.7,152.5,7.92,8.33,95,15.4,17.1,90.2,4.17,5.83,71.4,0,0,0,0,3.33,0,0,2.5,Matches
1851,Lebo Mothiba\3eaf8817,za RSA,FWMF,Troyes,fr Ligue 1,25,1996,5.8,18.6,21.9,85,242.2,34.3,11.6,12.6,91.8,4.83,5.69,84.8,0.69,1.21,57.1,0,0.14,-0.14,1.21,0.52,0.17,0.17,0.52,Matches
1852,Lebo Mothiba\3eaf8817,za RSA,FW,Strasbourg,fr Ligue 1,25,1996,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1853,Andrei Motoc\b64073a0,ro ROU,DF,Salernitana,it Serie A,19,2002,1,18,22,81.8,482,182,2,2,100,9,9,100,7,11,63.6,0,0,0,0,4,0,0,0,Matches
1854,Baptiste Mouazan\81ac108d,fr FRA,MF,Lorient,fr Ligue 1,19,2001,1.1,22.7,29.1,78.1,350.9,74.5,10,10.9,91.7,10,10.9,91.7,1.82,5.45,33.3,0,0,0,0,1.82,0.91,0,1.82,Matches
1855,Aimen Moueffek\2591b066,fr FRA,MF,Saint-Étienne,fr Ligue 1,20,2001,4.8,42.1,48.3,87.1,782.9,157.5,17.9,19.8,90.5,18.3,20.6,88.9,5.63,7.29,77.1,0,0.02,-0.02,0.42,4.17,0.42,0,3.96,Matches
1856,Youssoufa Moukoko\6ce43701,de GER,FW,Dortmund,de Bundesliga,16,2004,2.5,14.4,17.2,83.7,220.4,26,6.4,7.6,84.2,5.2,5.6,92.9,1.2,1.6,75,0,0.04,-0.04,0.8,1.2,0,0,0.8,Matches
1857,Harold Moukoudi\5f26e0c5,cm CMR,DF,Saint-Étienne,fr Ligue 1,23,1997,18.5,45,49.6,90.7,1028.6,318.6,12.8,13.7,93.3,21.5,22.9,94.1,10.5,12.3,85.1,0,0.01,-0.01,0.05,2.59,0.11,0,1.84,Matches
1858,Jessy Moulin\28a65a2c,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,23.7,33.9,70,699.6,381.4,3.71,3.71,100,9.86,10.1,97.2,9.57,19.4,49.3,0,0,0,0,0.14,0,0,0,Matches
1859,Steve Mounié\19ba6c6d,bj BEN,FW,Brest,fr Ligue 1,26,1994,25.7,17.6,28.3,62.2,251.9,60.8,10.7,15.2,70.3,5.49,9.65,56.9,0.93,1.83,51.1,0.08,0.05,0.03,0.62,1.83,0.47,0.04,2.14,Matches
1860,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,eng Premier League,22,1999,26.3,37.7,48.4,77.9,585.3,175.6,21,23.4,89.6,11.9,15,79.4,3.04,6.62,46,0.38,0.25,0.13,2.21,2.47,2.05,0.38,4.64,Matches
1861,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,eng Premier League,28,1992,19.7,29.2,38.8,75.3,455.1,125,16.2,18.9,86,10.7,14.3,75.1,1.57,3.45,45.6,0.3,0.22,0.08,1.68,2.59,1.73,0.3,4.16,Matches
1862,Lys Mousset\d9cfca3d,fr FRA,FWMF,Salernitana,it Serie A,25,1996,1.8,21.7,26.7,81.3,301.1,86.7,13.9,15.6,89.3,7.22,8.89,81.3,0.56,0.56,100,0.56,0.11,0.44,1.67,2.22,1.67,0.56,2.22,Matches
1863,João Moutinho\f5a00fa4,pt POR,MF,Wolves,eng Premier League,34,1986,33,50.6,60.1,84.3,1050.8,223.6,17.2,19.5,88.5,23.2,25.7,90.2,9.45,13.2,71.6,0.03,0.07,-0.04,1.15,4.48,0.61,0.09,4.18,Matches
1864,Samuel Moutoussamy\af0c835b,cd COD,MF,Nantes,fr Ligue 1,24,1996,16.8,36.2,42.7,84.7,633.8,154,17.7,19.6,90,14.2,15.8,89.5,3.45,5.12,67.4,0.06,0.02,0.04,0.36,2.56,0.42,0.06,2.2,Matches
1865,Toni Moya\9e098912,es ESP,MF,Alavés,es La Liga,23,1998,15.4,27.2,39.5,68.9,572.9,165.8,10.9,13.1,83.2,10.1,12.2,83,5.65,12.7,44.4,0.06,0.11,-0.05,1.49,2.34,0.52,0.13,2.66,Matches
1866,Samuel Mráz\be6c1ccc,sk SVK,FW,Spezia,it Serie A,24,1997,0.6,13.3,18.3,72.7,223.3,21.7,6.67,10,66.7,5,6.67,75,1.67,1.67,100,0,0,0,0,1.67,0,0,1.67,Matches
1867,Nordi Mukiele\ac73ec79,fr FRA,DF,RB Leipzig,de Bundesliga,23,1997,20.5,42,55.7,75.5,759,302.9,19.3,22.7,85,16.7,21.4,78.1,5.27,8.54,61.7,0.15,0.13,0.02,0.63,1.9,1.41,0.39,4.49,Matches
1868,Mert Müldür\1295552e,tr TUR,DF,Sassuolo,it Serie A,22,1999,22.7,42.6,52.7,80.9,724.8,314.5,21,23.1,90.9,16.9,20.3,83.3,3.96,7.22,54.9,0,0.05,-0.05,0.57,3.61,0.84,0.22,4.19,Matches
1869,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,28.3,33.7,83.8,716.8,376.4,7.13,7.13,100,12.3,12.5,98.7,8.27,13.6,60.9,0,0,0,0,0.1,0.03,0,0,Matches
1870,Thomas Müller\3c6089ab,de GER,MF,Bayern Munich,de Bundesliga,31,1989,28.4,39.8,53.2,74.9,635.4,166.8,21.3,25.5,83.8,13.9,18.5,75.4,3.03,5.81,52.1,0.63,0.4,0.24,2.54,2.64,2.32,0.81,4.93,Matches
1871,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,eng Premier League,19,2001,0.5,14,20,70,198,72,10,12,83.3,4,4,100,0,4,0,0,0,0,0,2,0,0,2,Matches
1872,Marshall Munetsi\2acf0cd7,zw ZIM,MFDF,Reims,fr Ligue 1,25,1996,20.9,26,32,81.3,523.1,121.4,9.95,11.6,85.6,11.1,12.9,85.9,4.45,6.51,68.4,0.05,0.04,0.01,0.33,1.63,0.05,0,1.2,Matches
1873,Iker Muniain\c05dfb74,es ESP,MF,Athletic Club,es La Liga,28,1992,30.9,40.3,51.5,78.4,702.4,261.9,20,22.3,89.8,14.1,17,83,5.18,9.84,52.6,0.32,0.31,0.02,3.5,3.62,2.33,0.39,6.18,Matches
1874,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,es La Liga,23,1997,14.9,39,50.9,76.6,688,296.2,17.2,19.5,88.3,18.3,21.5,84.7,3.02,7.52,40.2,0,0.03,-0.03,0.4,3.09,0.67,0.27,2.68,Matches
1875,Luis Muriel\eb2fe5b6,co COL,FW,Atalanta,it Serie A,30,1991,17.1,32.8,45,73,547.7,157.1,16.3,19.9,81.8,10,14,71.5,4.09,7.13,57.4,0.47,0.32,0.15,3.51,1.99,2.22,0.47,4.09,Matches
1876,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,es La Liga,29,1992,12.4,50.8,56.8,89.5,1169.8,292.7,12.7,13.5,94,25.1,26.8,93.7,12.4,15.6,79.4,0,0,0,0.08,3.55,0.08,0,2.18,Matches
1877,Vedat Muriqi\0cadc46d,xk KVX,FW,Mallorca,es La Liga,27,1994,16,16.5,29.1,56.7,230.4,48.9,9.88,14.8,66.7,4.81,9.69,49.7,0.75,2.06,36.4,0.19,0.1,0.09,0.81,1.13,0.81,0.13,2.06,Matches
1878,Vedat Muriqi\0cadc46d,xk KVX,FW,Lazio,it Serie A,27,1994,2.4,19.2,28.8,66.7,335,27.1,7.08,10,70.8,10.4,17.1,61,1.25,1.25,100,0,0,0,0,0.42,0.83,0,0.83,Matches
1879,Jacob Murphy\de112b84,eng ENG,FWDF,Newcastle Utd,eng Premier League,26,1995,16.4,22.2,34.9,63.6,378.2,138,11,14.1,77.9,8.29,11.6,71.6,2.26,6.04,37.4,0.12,0.13,-0.01,1.1,1.59,1.16,0.61,2.13,Matches
1880,Nicola Murru\d183e9d6,it ITA,DF,Sampdoria,it Serie A,26,1994,10.9,28.7,43,66.7,592.8,262.5,11.5,13.9,82.2,11.2,15.2,73.5,5.69,12.6,45.3,0,0.04,-0.04,0.64,2.75,0.83,0.37,3.76,Matches
1881,Yunus Musah\b51b1b9c,us USA,MFFW,Valencia,es La Liga,18,2002,14,20.6,28.1,73.4,372.2,91.6,9,11.3,79.7,7.93,10.7,74,2.64,3.71,71.2,0,0.08,-0.08,0.71,1.79,0.57,0.36,2.14,Matches
1882,Torben Müsel\d01b9ad6,de GER,MF,M'Gladbach,de Bundesliga,22,1999,0.1,20,20,100,190,0,20,20,100,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
1883,Jamal Musiala\2c0558b8,de GER,MFFW,Bayern Munich,de Bundesliga,18,2003,16.3,37.8,45.3,83.4,600.1,145.4,20.1,23.3,86.3,14.2,16.4,86.6,2.82,3.5,80.7,0.31,0.27,0.04,1.72,3.74,1.84,0,5.09,Matches
1884,Juan Musso\a111cf41,ar ARG,GK,Atalanta,it Serie A,27,1994,32.6,21.6,29.2,74.1,668.7,391.4,3.16,3.22,98.1,9.36,9.45,99,8.99,16.3,55.1,0,0,0,0,0.25,0,0,0,Matches
1885,Shkodran Mustafi\3f2d59fe,de GER,DF,Levante,es La Liga,29,1992,7.3,38.5,49,78.5,994.5,301.5,5.62,6.85,82,21.1,24.7,85.6,11.6,16.8,69.1,0,0,0,0,2.6,0,0,2.6,Matches
1886,Junior Mwanga\ee158be5,fr FRA,DF,Bordeaux,fr Ligue 1,18,2003,1,48,58,82.8,981,296,11,15,73.3,31,32,96.9,5,9,55.6,0,0,0,0,2,0,0,4,Matches
1887,Enock Mwepu\1d5cab82,zm ZAM,MFFW,Brighton,eng Premier League,23,1998,11.1,27,35.9,75.4,416.5,88.6,14.6,17.7,82.2,9.28,11.2,83.1,2.07,4.14,50,0.36,0.13,0.23,0.72,1.08,0.27,0,1.71,Matches
1888,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,eng Premier League,22,1999,11.7,27.7,39.4,70.3,451.8,196.2,15.3,17.2,89.1,9.06,13.8,65.8,2.65,6.67,39.7,0,0.07,-0.07,0.68,1.62,0.77,0.43,1.97,Matches
1889,Joakim Mæhle\c459a650,dk DEN,DF,Atalanta,it Serie A,24,1997,16.3,46.1,56.2,82,692.3,259.8,27.4,30.4,90.1,16,19.6,81.6,2.21,4.05,54.5,0.06,0.07,-0.01,0.92,3.01,1.29,0.12,4.23,Matches
1890,Obite N'Dicka\441197b8,fr FRA,DF,Eint Frankfurt,de Bundesliga,21,1999,31.7,49.7,58.3,85.2,967.8,299.3,17.9,19.6,91.5,25.4,28.2,89.9,5.96,9.5,62.8,0.13,0.03,0.09,0.35,1.99,0.32,0.06,2.65,Matches
1891,Kévin N'Doram\e50623a0,fr FRA,MF,Metz,fr Ligue 1,25,1996,13.7,31.6,38,83.3,629.2,163.4,11.1,13.2,84,15.2,17.2,88.5,4.82,6.42,75,0,0.03,-0.03,0.8,3.43,0.07,0,3.07,Matches
1892,Eric N'Jo\b85e57bb,fr FRA,DF,Troyes,fr Ligue 1,17,2004,1.1,22.7,27.3,83.3,457.3,132.7,8.18,8.18,100,11.8,13.6,86.7,2.73,3.64,75,0,0,0,0.91,1.82,0,0,0,Matches
1893,Vital N'Simba\249ac66d,cd COD,DF,Clermont Foot,fr Ligue 1,28,1993,31,46,59.3,77.5,795.2,391.1,22.6,26,87.2,18.9,23.5,80.5,4,8.16,49,0.1,0.13,-0.03,1.06,2.84,1.52,0.71,5.42,Matches
1894,Nacho\2946f9a1,es ESP,DF,Real Madrid,es La Liga,31,1990,17.3,55,59.2,92.9,1040.2,313,21,22,95.3,25.8,27.5,93.9,6.99,8.03,87.1,0,0.03,-0.03,0.46,2.72,0.23,0.12,2.31,Matches
1895,Mickael Nade\a6b6fa6e,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1999,28.5,34.8,42.1,82.7,736.9,218,10.5,12.1,87,17.5,20.1,87.4,6.11,9.02,67.7,0,0.01,-0.01,0.21,2.18,0.11,0,2.42,Matches
1896,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,eng Premier League,27,1994,10,31.9,37.4,85.3,537.6,143.2,14.9,17,87.6,14.2,15.8,89.9,2.4,3.6,66.7,0,0.01,-0.01,0.3,2.4,0.1,0,2.7,Matches
1897,Nahitan Nández\95facda1,uy URU,MFDF,Cagliari,it Serie A,25,1995,16.9,27.2,38.5,70.6,507.3,145.6,11.9,14.9,80.1,10.9,14.9,73.4,3.79,6.51,58.2,0.12,0.1,0.02,1.18,2.19,1.6,0.65,3.43,Matches
