,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1827,Jon Moncayola\9939e168,es ESP,MF,Osasuna,es La Liga,23,1998,32.4,0.06,1.27,0.37,29.3,1.27,0.37,0.05,0.17,24.5,0.03,0,0,0.07,0.07,0.05,-0.01,-0.01,Matches
1828,Monchu\8ac501f5,es ESP,MF,Granada,es La Liga,21,1999,7.4,0,1.08,0.14,12.5,1.08,0.13,0,0,21.5,0.14,0,0,0.05,0.05,0.05,-0.05,-0.05,Matches
1829,Thomas Monconduit\84d94b91,fr FRA,MF,Lorient,fr Ligue 1,30,1991,25,0.12,1.44,0.48,33.3,1.44,0.48,0.08,0.25,25.3,0,0,0,0.05,0.05,0.04,0.07,0.07,Matches
1830,Gonzalo Montiel\374d5158,ar ARG,DF,Sevilla,es La Liga,24,1997,11.8,0.08,0.42,0.08,20,0.42,0.08,0.2,1,18.1,0,0,0,0.03,0.03,0.07,0.06,0.06,Matches
1831,Lorenzo Montipò\c1d95617,it ITA,GK,Hellas Verona,it Serie A,25,1996,34,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1832,Ángel Montoro\719384c1,es ESP,MF,Granada,es La Liga,33,1988,14.8,0.07,1.49,0.27,18.2,1.49,0.27,0.05,0.25,23.5,0,0,0,0.08,0.08,0.05,-0.01,-0.01,Matches
1833,Martín Montoya\5cec2487,es ESP,DF,Betis,es La Liga,30,1991,5.8,0,0.86,0.34,40,0.87,0.35,0,0,20.6,0,0,0,0.07,0.07,0.07,-0.07,-0.07,Matches
1834,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,eng Premier League,24,1996,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1835,Álvaro Morata\129af0db,es ESP,FW,Juventus,it Serie A,28,1992,25.6,0.35,2.34,0.9,38.3,2.35,0.9,0.13,0.35,12.8,0.04,0.04,0.04,0.31,0.28,0.12,0.04,0.03,Matches
1836,Jan Morávek\e7d22eae,cz CZE,MF,Augsburg,de Bundesliga,31,1989,5.2,0,0.38,0,0,0.38,0,0,,13,0,0,0,0.13,0.13,0.36,-0.13,-0.13,Matches
1837,Jon Morcillo\b7d7f3bf,es ESP,MF,Athletic Club,es La Liga,22,1998,0.6,0,1.67,0,0,1.67,0,0,,6,0,0,0,0.67,0.67,0.38,-0.67,-0.67,Matches
1838,Jérémy Morel\e97150c0,mg MAD,DF,Lorient,fr Ligue 1,37,1984,6.7,0,0.15,0,0,0.15,0,0,,8.1,0,0,0,0,0,0.05,0,0,Matches
1839,Alberto Moreno\11b9265b,es ESP,MFDF,Villarreal,es La Liga,29,1992,13.6,0.22,1.62,0.74,45.5,1.62,0.74,0.14,0.3,17.5,0.07,0,0,0.22,0.22,0.14,0,0,Matches
1840,Álex Moreno\16e9d0ea,es ESP,DF,Betis,es La Liga,28,1993,26.7,0.19,1.01,0.3,29.6,1.01,0.3,0.19,0.63,16.3,0,0,0,0.11,0.11,0.11,0.08,0.08,Matches
1841,Gerard Moreno\81f0781e,es ESP,FW,Villarreal,es La Liga,29,1992,13.2,0.68,2.73,0.98,36.1,2.72,0.98,0.22,0.62,14.1,0,0.08,0.15,0.49,0.38,0.14,0.19,0.23,Matches
1842,Tete Morente\004d185e,es ESP,MFFW,Elche,es La Liga,24,1996,18.1,0.17,1.6,0.44,27.6,1.6,0.44,0.1,0.38,18.1,0,0,0,0.18,0.18,0.11,-0.01,-0.01,Matches
1843,Ilaix Moriba\f4c69aa6,gn GUI,MF,Valencia,es La Liga,18,2003,9.1,0,1.65,0.55,33.3,1.65,0.55,0,0,18.6,0.11,0,0,0.07,0.07,0.04,-0.07,-0.07,Matches
1844,Ilaix Moriba\f4c69aa6,gn GUI,MF,RB Leipzig,de Bundesliga,18,2003,0.4,0,2.5,2.5,100,2.81,2.81,0,0,26,0,0,0,0,0,0.03,0,0,Matches
1845,Manu Morlanes\a0255c67,es ESP,MF,Espanyol,es La Liga,22,1999,12.7,0.16,0.63,0.16,25,0.63,0.16,0.25,1,18.6,0,0,0,0.06,0.06,0.1,0.09,0.09,Matches
1846,Raúl Moro\919dd4b1,es ESP,FW,Lazio,it Serie A,18,2002,2.2,0,0.91,0.45,50,0.9,0.45,0,0,12.8,0,0,0,0.14,0.14,0.15,-0.14,-0.14,Matches
1847,Loren Morón\3aa4a3be,es ESP,FWMF,Espanyol,es La Liga,27,1993,6.3,0.16,1.59,0.32,20,1.6,0.32,0.1,0.5,20.5,0,0,0,0.13,0.13,0.08,0.03,0.03,Matches
1848,Loren Morón\3aa4a3be,es ESP,FW,Betis,es La Liga,27,1993,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1849,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,eng Premier League,18,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1850,Cristhian Mosquera\dc1ce4f5,co COL,DF,Valencia,es La Liga,17,2004,2.4,0,0.42,0,0,0.42,0,0,,7,0,0,0,0.04,0.04,0.12,-0.04,-0.04,Matches
1851,Lebo Mothiba\3eaf8817,za RSA,FWMF,Troyes,fr Ligue 1,25,1996,5.8,0.34,0.86,0.34,40,0.86,0.34,0.2,0.5,14.9,0,0.17,0.17,0.36,0.22,0.27,-0.02,-0.05,Matches
1852,Lebo Mothiba\3eaf8817,za RSA,FW,Strasbourg,fr Ligue 1,25,1996,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1853,Andrei Motoc\b64073a0,ro ROU,DF,Salernitana,it Serie A,19,2002,1,0,1,0,0,1,0,0,,21.8,0,0,0,0,0,0.01,0,0,Matches
1854,Baptiste Mouazan\81ac108d,fr FRA,MF,Lorient,fr Ligue 1,19,2001,1.1,0,0.91,0,0,0.94,0,0,,21,0,0,0,0.09,0.09,0.06,-0.09,-0.09,Matches
1855,Aimen Moueffek\2591b066,fr FRA,MF,Saint-Étienne,fr Ligue 1,20,2001,4.8,0,0.83,0.21,25,0.83,0.21,0,0,26.3,0,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
1856,Youssoufa Moukoko\6ce43701,de GER,FW,Dortmund,de Bundesliga,16,2004,2.5,0.8,3.2,1.2,37.5,3.23,1.21,0.25,0.67,14,0,0,0,0.72,0.72,0.22,0.08,0.08,Matches
1857,Harold Moukoudi\5f26e0c5,cm CMR,DF,Saint-Étienne,fr Ligue 1,23,1997,18.5,0,0.38,0,0,0.38,0,0,,7.8,0,0,0,0.05,0.05,0.12,-0.05,-0.05,Matches
1858,Jessy Moulin\28a65a2c,fr FRA,GK,Troyes,fr Ligue 1,35,1986,7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1859,Steve Mounié\19ba6c6d,bj BEN,FW,Brest,fr Ligue 1,26,1994,25.7,0.35,2.8,0.93,33.3,2.8,0.93,0.1,0.29,12.1,0,0.08,0.08,0.46,0.4,0.14,-0.11,-0.13,Matches
1860,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,eng Premier League,22,1999,26.3,0.42,2.85,1.03,36,2.86,1.03,0.13,0.37,17.6,0.23,0.04,0.04,0.34,0.31,0.11,0.08,0.07,Matches
1861,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,eng Premier League,28,1992,19.7,0.1,1.93,0.56,28.9,1.93,0.56,0.05,0.18,15.6,0,0,0,0.19,0.19,0.1,-0.09,-0.09,Matches
1862,Lys Mousset\d9cfca3d,fr FRA,FWMF,Salernitana,it Serie A,25,1996,1.8,0,1.11,0.56,50,1.13,0.56,0,0,20.3,0,0,0,0.06,0.06,0.05,-0.06,-0.06,Matches
1863,João Moutinho\f5a00fa4,pt POR,MF,Wolves,eng Premier League,34,1986,33,0.06,0.61,0.21,35,0.61,0.21,0.1,0.29,23.7,0.12,0,0,0.03,0.03,0.05,0.03,0.03,Matches
1864,Samuel Moutoussamy\af0c835b,cd COD,MF,Nantes,fr Ligue 1,24,1996,16.8,0,0.83,0.36,42.9,0.83,0.36,0,0,16.3,0,0,0,0.13,0.13,0.15,-0.13,-0.13,Matches
1865,Toni Moya\9e098912,es ESP,MF,Alavés,es La Liga,23,1998,15.4,0,0.78,0.13,16.7,0.78,0.13,0,0,24.9,0.13,0,0,0.08,0.08,0.1,-0.08,-0.08,Matches
1866,Samuel Mráz\be6c1ccc,sk SVK,FW,Spezia,it Serie A,24,1997,0.6,0,1.67,0,0,1.67,0,0,,30,0,0,0,0,0,0.01,0,0,Matches
1867,Nordi Mukiele\ac73ec79,fr FRA,DF,RB Leipzig,de Bundesliga,23,1997,20.5,0.05,1.07,0.34,31.8,1.07,0.34,0.05,0.14,12.3,0,0,0,0.12,0.12,0.11,-0.07,-0.07,Matches
1868,Mert Müldür\1295552e,tr TUR,DF,Sassuolo,it Serie A,22,1999,22.7,0,0.4,0.18,44.4,0.4,0.18,0,0,21.3,0,0,0,0.03,0.03,0.07,-0.03,-0.03,Matches
1869,Florian Müller\cbac6ec9,de GER,GK,Stuttgart,de Bundesliga,23,1997,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1870,Thomas Müller\3c6089ab,de GER,MF,Bayern Munich,de Bundesliga,31,1989,28.4,0.28,1.94,0.85,43.6,1.94,0.84,0.15,0.33,12.6,0,0,0,0.35,0.35,0.19,-0.07,-0.07,Matches
1871,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,eng Premier League,19,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1872,Marshall Munetsi\2acf0cd7,zw ZIM,MFDF,Reims,fr Ligue 1,25,1996,20.9,0.24,1.53,0.62,40.6,1.53,0.62,0.16,0.38,16.2,0,0,0,0.2,0.2,0.14,0.04,0.04,Matches
1873,Iker Muniain\c05dfb74,es ESP,MF,Athletic Club,es La Liga,28,1992,30.9,0.13,1.23,0.52,42.1,1.23,0.52,0.08,0.19,18.7,0.19,0.03,0.1,0.22,0.14,0.11,-0.09,-0.04,Matches
1874,Aihen Muñoz\228b0d9d,es ESP,DF,Real Sociedad,es La Liga,23,1997,14.9,0,0.47,0,0,0.47,0,0,,25.8,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
1875,Luis Muriel\eb2fe5b6,co COL,FW,Atalanta,it Serie A,30,1991,17.1,0.53,3.22,0.94,29.1,3.22,0.94,0.13,0.44,18.5,0.29,0.12,0.12,0.43,0.34,0.11,0.1,0.07,Matches
1876,Jeison Murillo\b233e8e4,co COL,DF,Celta Vigo,es La Liga,29,1992,12.4,0,0.56,0.08,14.3,0.56,0.08,0,0,13.5,0,0,0,0.03,0.03,0.06,-0.03,-0.03,Matches
1877,Vedat Muriqi\0cadc46d,xk KVX,FW,Mallorca,es La Liga,27,1994,16,0.31,3.06,0.94,30.6,3.07,0.94,0.06,0.2,14.9,0,0.13,0.13,0.33,0.23,0.08,-0.01,-0.04,Matches
1878,Vedat Muriqi\0cadc46d,xk KVX,FW,Lazio,it Serie A,27,1994,2.4,0,1.67,0.83,50,1.67,0.84,0,0,14.7,0,0,0,0.17,0.17,0.1,-0.17,-0.17,Matches
1879,Jacob Murphy\de112b84,eng ENG,FWDF,Newcastle Utd,eng Premier League,26,1995,16.4,0.06,1.71,0.37,21.4,1.71,0.37,0.04,0.17,19.7,0.06,0,0,0.18,0.18,0.1,-0.12,-0.12,Matches
1880,Nicola Murru\d183e9d6,it ITA,DF,Sampdoria,it Serie A,26,1994,10.9,0.09,0.28,0.09,33.3,0.27,0.09,0.33,1,18.4,0,0,0,0.01,0.01,0.03,0.08,0.08,Matches
1881,Yunus Musah\b51b1b9c,us USA,MFFW,Valencia,es La Liga,18,2002,14,0.07,0.5,0.14,28.6,0.5,0.14,0.14,0.5,15.2,0,0,0,0.03,0.03,0.05,0.04,0.04,Matches
1882,Torben Müsel\d01b9ad6,de GER,MF,M'Gladbach,de Bundesliga,22,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1883,Jamal Musiala\2c0558b8,de GER,MFFW,Bayern Munich,de Bundesliga,18,2003,16.3,0.31,2.64,0.98,37.2,2.64,0.98,0.12,0.31,15.1,0,0,0,0.28,0.28,0.11,0.02,0.02,Matches
1884,Juan Musso\a111cf41,ar ARG,GK,Atalanta,it Serie A,27,1994,32.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1885,Shkodran Mustafi\3f2d59fe,de GER,DF,Levante,es La Liga,29,1992,7.3,0.14,0.55,0.27,50,0.55,0.27,0.25,0.5,16,0,0,0,0.01,0.01,0.02,0.12,0.12,Matches
1886,Junior Mwanga\ee158be5,fr FRA,DF,Bordeaux,fr Ligue 1,18,2003,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1887,Enock Mwepu\1d5cab82,zm ZAM,MFFW,Brighton,eng Premier League,23,1998,11.1,0.18,1.71,0.72,42.1,1.72,0.72,0.11,0.25,19.6,0,0,0,0.17,0.17,0.1,0.01,0.01,Matches
1888,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,eng Premier League,22,1999,11.7,0.09,0.68,0.17,25,0.68,0.17,0.13,0.5,18.3,0,0,0,0.07,0.07,0.1,0.02,0.02,Matches
1889,Joakim Mæhle\c459a650,dk DEN,DF,Atalanta,it Serie A,24,1997,16.3,0.06,1.29,0.25,19,1.28,0.24,0.05,0.25,18.3,0,0,0,0.12,0.12,0.09,-0.06,-0.06,Matches
1890,Obite N'Dicka\441197b8,fr FRA,DF,Eint Frankfurt,de Bundesliga,21,1999,31.7,0.13,0.85,0.16,18.5,0.85,0.16,0.15,0.8,7.6,0,0,0,0.08,0.08,0.1,0.04,0.04,Matches
1891,Kévin N'Doram\e50623a0,fr FRA,MF,Metz,fr Ligue 1,25,1996,13.7,0,0.51,0.07,14.3,0.51,0.07,0,0,15.8,0,0,0,0.08,0.08,0.15,-0.08,-0.08,Matches
1892,Eric N'Jo\b85e57bb,fr FRA,DF,Troyes,fr Ligue 1,17,2004,1.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1893,Vital N'Simba\249ac66d,cd COD,DF,Clermont Foot,fr Ligue 1,28,1993,31,0.03,0.61,0.13,21.1,0.61,0.13,0.05,0.25,25.6,0,0,0,0.02,0.02,0.03,0.01,0.01,Matches
1894,Nacho\2946f9a1,es ESP,DF,Real Madrid,es La Liga,31,1990,17.3,0.17,0.58,0.17,30,0.58,0.17,0.3,1,12.8,0,0,0,0.07,0.07,0.12,0.1,0.1,Matches
1895,Mickael Nade\a6b6fa6e,fr FRA,DF,Saint-Étienne,fr Ligue 1,22,1999,28.5,0.04,0.25,0.04,14.3,0.25,0.04,0.14,1,10.3,0,0,0,0.04,0.04,0.15,0,0,Matches
1896,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,eng Premier League,27,1994,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1897,Nahitan Nández\95facda1,uy URU,MFDF,Cagliari,it Serie A,25,1995,16.9,0,1.18,0.12,10,1.18,0.12,0,0,19.4,0,0,0,0.05,0.05,0.04,-0.05,-0.05,Matches
1898,Nani\15e9c7e6,pt POR,FWMF,Venezia,it Serie A,34,1986,3.2,0,0.94,0,0,0.94,0,0,,23.3,0,0,0,0.03,0.03,0.02,-0.03,-0.03,Matches
1899,Paul Nardi\2d70dbe5,fr FRA,GK,Lorient,fr Ligue 1,27,1994,22,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1900,Nikolas Nartey\30261ba1,dk DEN,MFDF,Stuttgart,de Bundesliga,21,2000,4.5,0,0.22,0,0,0.22,0,0,,14.9,0,0,0,0,0,0.04,0,0,Matches
1901,Matija Nastasić\f35430a4,rs SRB,DF,Fiorentina,it Serie A,28,1993,2.4,0,0.42,0.42,100,0.41,0.41,0,0,6,0,0,0,0.04,0.04,0.06,-0.04,-0.04,Matches
1902,Roberto Navarro\c997b942,es ESP,MFFW,Real Sociedad,es La Liga,19,2002,2.2,0,3.18,1.36,42.9,3.17,1.36,0,0,14.8,0,0,0,0.32,0.32,0.11,-0.32,-0.32,Matches
1903,Ximo Navarro\8db394aa,es ESP,DF,Alavés,es La Liga,31,1990,15,0,0.73,0.2,27.3,0.73,0.2,0,0,17.5,0,0,0,0.03,0.03,0.04,-0.03,-0.03,Matches
1904,Jesús Navas\3f10bd22,es ESP,DF,Sevilla,es La Liga,35,1985,19.8,0,0.51,0.05,10,0.5,0.05,0,0,22.7,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
1905,Keylor Navas\ecada4fc,cr CRC,GK,Paris S-G,fr Ligue 1,34,1986,20.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1906,Papa Ndiaga Yade\87e9c7cd,sn SEN,DFMF,Metz,fr Ligue 1,21,2000,7.7,0,1.04,0,0,1.03,0,0,,28.8,0,0,0,0.03,0.03,0.02,-0.03,-0.03,Matches
1907,Loum Ndiaye\bcfc4473,sn SEN,MF,Alavés,es La Liga,24,1996,25.7,0.08,1.32,0.31,23.5,1.32,0.31,0.06,0.25,22,0,0,0,0.09,0.09,0.07,-0.01,-0.01,Matches
1908,Wilfred Ndidi\6b47c5db,ng NGA,MFDF,Leicester City,eng Premier League,24,1996,18,0,0.83,0.22,26.7,0.83,0.22,0,0,18,0,0,0,0.06,0.06,0.07,-0.06,-0.06,Matches
1909,Tanguy Ndombele\5cdddffa,fr FRA,MF,Tottenham,eng Premier League,24,1996,5.4,0.19,1.67,0.56,33.3,1.67,0.56,0.11,0.33,17.3,0,0,0,0.09,0.09,0.05,0.09,0.09,Matches
1910,Tanguy Ndombele\5cdddffa,fr FRA,MF,Lyon,fr Ligue 1,24,1996,7.8,0,0.64,0,0,0.64,0,0,,22.5,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
1911,Dan Ndoye\8e697a8f,ch SUI,FWMF,Nice,fr Ligue 1,20,2000,2.3,0,1.3,0,0,1.32,0,0,,13.7,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
1912,Paul Nebel\1b6d8083,de GER,MFFW,Mainz 05,de Bundesliga,18,2002,2.5,0,1.2,0.4,33.3,1.18,0.39,0,0,11.4,0,0,0,0.12,0.12,0.1,-0.12,-0.12,Matches
1913,Álvaro Negredo\63b0ca6b,es ESP,FW,Cádiz,es La Liga,35,1985,24,0.29,2.71,1.04,38.5,2.71,1.04,0.08,0.2,16.1,0,0.08,0.13,0.37,0.27,0.1,-0.07,-0.06,Matches
1914,Reiss Nelson\c5bdb6e3,eng ENG,FW,Arsenal,eng Premier League,21,1999,0.2,0,5,0,0,4.5,0,0,,18,0,0,0,0,0,0.04,0,0,Matches
1915,David Nemeth\da76715c,at AUT,DF,Mainz 05,de Bundesliga,20,2001,3.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1916,Ilija Nestorovski\b1236c63,mk MKD,FW,Udinese,it Serie A,31,1990,2.1,0.48,2.38,0.48,20,2.39,0.48,0.2,1,12.4,0,0,0,0.33,0.33,0.14,0.14,0.14,Matches
1917,Neto\a9dc785c,br BRA,GK,Barcelona,es La Liga,32,1989,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1918,Pedro Neto\7ba2eaa9,pt POR,FWMF,Wolves,eng Premier League,21,2000,5.2,0.19,3.27,0.77,23.5,3.28,0.77,0.06,0.25,18.7,0.38,0,0,0.29,0.29,0.09,-0.1,-0.1,Matches
1919,Luca Netz\e79269bd,de GER,DF,M'Gladbach,de Bundesliga,18,2003,15.5,0,0.97,0.32,33.3,0.97,0.32,0,0,16.7,0.06,0,0,0.12,0.12,0.12,-0.12,-0.12,Matches
1920,Manuel Neuer\8778c910,de GER,GK,Bayern Munich,de Bundesliga,35,1986,27.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1921,Florian Neuhaus\36a59ba4,de GER,MF,M'Gladbach,de Bundesliga,24,1997,23.6,0.17,2.03,0.81,39.6,2.04,0.81,0.08,0.21,20.2,0.04,0,0,0.19,0.19,0.09,-0.02,-0.02,Matches
1922,Carlos Neva\8d47bb39,es ESP,DF,Granada,es La Liga,25,1996,23.4,0,0.26,0.04,16.7,0.26,0.04,0,0,18.7,0,0,0,0.04,0.04,0.16,-0.04,-0.04,Matches
1923,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,eng Premier League,24,1997,29.6,0.14,1.42,0.54,38.1,1.42,0.54,0.1,0.25,26,0.14,0,0,0.04,0.04,0.03,0.09,0.09,Matches
1924,Neymar\69384e5d,br BRA,FWMF,Paris S-G,fr Ligue 1,29,1992,20.6,0.63,2.43,1.21,50,2.43,1.22,0.2,0.4,18.4,0.39,0.15,0.19,0.55,0.4,0.17,0.08,0.08,Matches
1925,Yvan Neyou\0ad37003,cm CMR,MF,Saint-Étienne,fr Ligue 1,24,1997,10.4,0,0.58,0.29,50,0.58,0.29,0,0,28.5,0.1,0,0,0.02,0.02,0.03,-0.02,-0.02,Matches
1926,Jeremy Ngakia\3631ad41,eng ENG,DF,Watford,eng Premier League,20,2000,10,0,0.5,0,0,0.5,0,0,,26.3,0,0,0,0.01,0.01,0.02,-0.01,-0.01,Matches
1927,Jessic Ngankam\bc249af8,de GER,FW,Greuther Fürth,de Bundesliga,21,2000,3.8,0.53,2.11,1.32,62.5,2.11,1.32,0.25,0.4,13.4,0,0,0,0.47,0.47,0.22,0.05,0.05,Matches
1928,Opa Nguette\75a63397,sn SEN,FWMF,Metz,fr Ligue 1,27,1994,11.6,0.17,1.98,0.6,30.4,1.98,0.6,0.09,0.29,16.2,0,0,0,0.22,0.22,0.11,-0.04,-0.04,Matches
1929,Aurélien Nguiamba\de135234,fr FRA,MF,Spezia,it Serie A,22,1999,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1930,Sikou Niakaté\8eef18aa,fr FRA,DF,Metz,fr Ligue 1,22,1999,7.3,0,0.55,0,0,0.54,0,0,,16.2,0,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
1931,Moussa Niakhate\00242715,fr FRA,DF,Mainz 05,de Bundesliga,25,1996,28.5,0.14,0.32,0.11,33.3,0.32,0.11,0.22,0.67,14,0,0.07,0.07,0.13,0.07,0.24,0.01,0,Matches
1932,Ibrahima Niane\46faabfa,sn SEN,FW,Metz,fr Ligue 1,22,1999,17.6,0.17,2.44,0.57,23.3,2.45,0.57,0.05,0.2,16.7,0.06,0.06,0.06,0.24,0.19,0.08,-0.07,-0.08,Matches
1933,M'Baye Niang\2054d037,sn SEN,FW,Bordeaux,fr Ligue 1,26,1994,8.6,0.35,2.91,1.16,40,2.9,1.16,0.12,0.3,15.8,0.12,0,0,0.3,0.3,0.11,0.05,0.05,Matches
1934,Cheikh Niasse\ff20acfe,sn SEN,MFFW,Lille,fr Ligue 1,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1935,Florian Niederlechner\d6862409,de GER,FW,Augsburg,de Bundesliga,30,1990,12.9,0.39,2.17,0.93,42.9,2.16,0.93,0.18,0.42,11.8,0,0,0,0.42,0.42,0.19,-0.03,-0.03,Matches
1936,Håvard Nielsen\b18ef366,no NOR,MFFW,Greuther Fürth,de Bundesliga,28,1993,15.2,0.13,1.84,0.59,32.1,1.84,0.59,0.07,0.22,13.3,0,0,0,0.12,0.12,0.06,0.01,0.01,Matches
1937,Saúl Ñíguez\c14bc029,es ESP,MFDF,Chelsea,eng Premier League,26,1994,5.3,0,0.94,0.19,20,0.94,0.19,0,0,21.8,0,0,0,0.04,0.04,0.05,-0.04,-0.04,Matches
1938,Saúl Ñíguez\c14bc029,es ESP,DFMF,Atlético Madrid,es La Liga,26,1994,2.2,0,1.82,0,0,1.79,0,0,,16.6,0,0,0,0.18,0.18,0.09,-0.18,-0.18,Matches
1939,Dimitris Nikolaou\cf961d8d,gr GRE,DF,Spezia,it Serie A,22,1998,36,0,0.08,0,0,0.08,0,0,,23.4,0,0,0,0,0,0.04,0,0,Matches
1940,Joakim Nilsson\c562c5b4,se SWE,DF,Arminia,de Bundesliga,27,1994,30.4,0.07,0.16,0.1,60,0.16,0.1,0.4,0.67,15.5,0,0,0,0.01,0.01,0.04,0.06,0.06,Matches
1941,Casimir Ninga\91f2da4c,td CHA,FW,Angers,fr Ligue 1,28,1993,4.5,0,2,0.22,11.1,1.98,0.22,0,0,11.8,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
1942,Fernando Niño\81d5c497,es ESP,FW,Mallorca,es La Liga,20,2000,9.8,0.2,2.35,1.33,56.5,2.34,1.32,0.09,0.15,12.2,0,0,0,0.42,0.42,0.18,-0.21,-0.21,Matches
1943,Eddie Nketiah\a53649b7,eng ENG,FW,Arsenal,eng Premier League,22,1999,9.3,0.54,3.01,1.29,42.9,3.02,1.29,0.18,0.42,14.2,0,0,0,0.49,0.49,0.17,0.04,0.04,Matches
1944,Nicolas Nkoulou\93cf32a8,cm CMR,DF,Watford,eng Premier League,31,1990,1.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1945,Christopher Nkunku\7c56da38,fr FRA,FWMF,RB Leipzig,de Bundesliga,23,1997,30.3,0.66,2.64,1.29,48.8,2.64,1.29,0.24,0.49,15.7,0.23,0.03,0.03,0.49,0.47,0.18,0.17,0.16,Matches
1946,Lukas Nmecha\0cc5f4a5,de GER,FWMF,Wolfsburg,de Bundesliga,22,1998,18.1,0.44,2.98,1.16,38.9,2.99,1.16,0.15,0.38,12.5,0,0,0,0.55,0.55,0.19,-0.11,-0.11,Matches
1947,Mark Noble\ff527768,eng ENG,MF,West Ham,eng Premier League,34,1987,3.7,0.27,0,0,,0,0,,,,0,0.27,0.54,0.41,0,,-0.14,0,Matches
1948,Peru Nolaskoain\857cb4f3,es ESP,DF,Athletic Club,es La Liga,22,1998,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
1949,Nolito\b2d0ec1b,es ESP,MF,Celta Vigo,es La Liga,34,1986,15.4,0.13,1.3,0.58,45,1.3,0.59,0.1,0.22,16.7,0.06,0,0,0.22,0.22,0.17,-0.09,-0.09,Matches
1950,Arnaud Nordin\7b9a9e25,fr FRA,FWMF,Saint-Étienne,fr Ligue 1,23,1998,20.8,0.19,2.36,1.01,42.9,2.35,1.01,0.08,0.19,16.4,0,0,0,0.24,0.24,0.1,-0.04,-0.04,Matches
1951,Håvard Nordtveit\6cafd68d,no NOR,DF,Hoffenheim,de Bundesliga,31,1990,3.4,0,0.29,0,0,0.3,0,0,,13,0,0,0,0,0,0.03,0,0,Matches
1952,Mathias Normann\8996350d,no NOR,MF,Norwich City,eng Premier League,25,1996,18.3,0.05,1.42,0.27,19.2,1.42,0.27,0.04,0.2,26.6,0.33,0,0,0.05,0.05,0.04,0.01,0.01,Matches
1953,Connor Noß\ccc6d365,ie IRL,MF,M'Gladbach,de Bundesliga,20,2001,0.6,0,1.67,0,0,1.73,0,0,,13.5,0,0,0,0.17,0.17,0.07,-0.17,-0.17,Matches
1954,Hugo Novoa\5458f670,es ESP,MFFW,RB Leipzig,de Bundesliga,18,2003,1.5,0.67,1.33,1.33,100,1.32,1.32,0.5,0.5,13.3,0,0,0,0.47,0.47,0.36,0.2,0.2,Matches
1955,Soma Novothny\6fb91ea9,hu HUN,FWMF,Bochum,de Bundesliga,27,1994,0.9,1.11,3.33,1.11,33.3,3.38,1.13,0.33,1,9,0,0,0,0.56,0.56,0.16,0.56,0.56,Matches
